,Year,Articles
0,2010,791
1,2011,883
2,2012,927
3,2013,977
4,2014,1112
5,2015,1112
6,2016,1640
7,2017,1472
8,2018,1633
9,2019,1770
10,2020,1862
11,2021,2016
12,2022,2185
13,2023,2323
